dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-01-00,2516,4085,16052,23855,242,452,63
2013-05-01-01,2216,3593,13983,23154,150,317,50
2013-05-01-02,2294,3420,18392,23210,152,352,69
2013-05-01-03,2872,5141,30857,29792,393,685,138
2013-05-01-04,4559,6929,48111,49423,697,1148,316
2013-05-01-05,6695,9065,64461,47160,894,1369,412
2013-05-01-06,10074,12076,75503,53416,1223,1843,579
2013-05-01-07,13527,15521,85103,55765,1235,1787,578
2013-05-01-08,20534,38858,313255,201002,5228,8170,2125
2013-05-01-09,17822,24744,150491,117034,2591,4389,1219
2013-05-01-10,14896,17852,109931,89130,1684,2878,875
2013-05-01-11,18801,18928,91703,74475,1253,2097,621
2013-05-01-12,19789,18330,79004,68540,1019,1821,529
2013-05-01-13,16814,16636,74155,65046,921,1601,439
2013-05-01-14,13952,14609,65327,60831,878,1616,417
2013-05-01-15,13187,14181,58762,51940,657,1321,310
2013-05-01-16,13439,15144,60767,48608,612,1196,306
2013-05-01-17,14623,18735,80346,55078,606,1446,318
2013-05-01-18,16659,39086,298697,145966,2658,4139,923
2013-05-01-19,13738,26894,184064,105548,1578,2955,652
2013-05-01-20,10927,19361,121402,77456,1146,2201,441
2013-05-01-21,6807,11053,63772,35954,631,1224,246
2013-05-01-22,5948,8155,43793,27429,415,754,126
2013-05-01-23,3941,5309,26458,32654,282,554,97
2013-05-02-00,3086,4041,16781,20187,187,395,60
2013-05-02-01,2585,3569,12330,17363,115,263,29
2013-05-02-02,2726,3903,17186,14763,133,176,46
2013-05-02-03,4356,6010,34156,18512,266,487,120
2013-05-02-04,6896,8553,50182,26168,546,785,214
2013-05-02-05,12326,12545,66223,32343,721,1158,356
2013-05-02-06,12319,13774,78903,54800,882,1398,394
2013-05-02-07,14274,16691,92300,50178,1118,1793,564
2013-05-02-08,26896,44824,428102,218641,7823,11944,3309
2013-05-02-09,21975,25759,206319,118264,3596,5658,1838
2013-05-02-10,20947,22577,157779,89962,2502,3828,1296
2013-05-02-11,21076,20826,134494,82707,1970,3110,965
2013-05-02-12,21086,19317,117582,74578,1711,2609,804
2013-05-02-13,20831,18092,107722,71194,1576,2484,673
2013-05-02-14,18133,16210,95439,62920,1365,2325,658
2013-05-02-15,17050,15702,87912,54139,1100,1859,508
2013-05-02-16,17006,16550,91512,53698,1155,1948,489
2013-05-02-17,18920,19567,111740,62126,1316,2654,466
2013-05-02-18,18395,37851,341101,177639,3949,6479,1560
2013-05-02-19,16073,26367,217077,125187,2282,4969,921
2013-05-02-20,12602,19384,145821,89291,1652,3165,724
2013-05-02-21,9413,13267,93296,71225,999,1958,424
2013-05-02-22,6540,8934,54252,35920,652,1223,226
2013-05-02-23,4602,5973,31169,37146,409,899,155
2013-05-03-00,2796,3947,17921,16972,201,366,47
2013-05-03-01,2351,3560,13181,13130,143,208,40
2013-05-03-02,2852,3705,18248,16518,198,356,88
2013-05-03-03,4382,5226,32192,21031,332,557,178
2013-05-03-04,8179,8218,52946,32883,555,1001,224
2013-05-03-05,11778,11029,69573,42852,937,1783,457
2013-05-03-06,14255,13042,78918,54084,1176,1966,672
2013-05-03-07,14719,14981,82859,55212,1464,2268,668
2013-05-03-08,18879,34819,289223,154107,4724,7155,1851
2013-05-03-09,16855,21524,150822,95993,2225,3702,1096
2013-05-03-10,16126,19033,114614,71617,1780,2909,824
2013-05-03-11,15617,17387,95646,66000,1365,2179,627
2013-05-03-12,14854,16606,83904,62499,1068,1742,504
2013-05-03-13,14112,15082,78281,56491,1066,2218,461
2013-05-03-14,13184,13407,68510,47675,881,1582,394
2013-05-03-15,10357,12435,66068,44838,804,1612,336
2013-05-03-16,10347,12923,62745,43295,665,1397,299
2013-05-03-17,10807,13222,71719,47624,791,1403,319
2013-05-03-18,11228,16227,77666,49368,819,1594,318
2013-05-03-19,10930,14313,72390,49959,886,1625,326
2013-05-03-20,9449,12123,59874,43045,707,1403,243
2013-05-03-21,6999,9624,42942,46124,520,1102,220
2013-05-03-22,4919,6698,25654,25437,341,726,115
2013-05-03-23,3685,4967,16594,31398,215,548,55
2013-05-04-00,2621,4178,10971,17236,141,319,37
2013-05-04-01,2281,3262,8598,12870,69,209,29
2013-05-04-02,2413,3555,10061,10138,103,162,25
2013-05-04-03,3377,4390,13915,13979,184,484,43
2013-05-04-04,6303,6330,25949,18740,383,682,134
2013-05-04-05,8386,9403,36611,23993,426,953,244
2013-05-04-06,10483,10988,41446,29293,582,1072,271
2013-05-04-07,11624,12133,49628,32768,706,1489,326
2013-05-04-08,14559,28517,236217,136693,3634,6176,1394
2013-05-04-09,14141,18654,142108,94232,2353,4061,1073
2013-05-04-10,14011,16223,109995,68187,1744,3029,821
2013-05-04-11,13646,15076,94839,57528,1399,2572,700
